Sample,Site,Number,P_Glycogen_DW,Delta_Glycogen,Delta_Glycogen_log,ConditionIndex,Delta_CI,Delta_CI_log,Distal_Temperature,Distal_Salinity,Distal_pH,Distal_DO_mg,Distal_TA,Distal_pCO2,Distal_Omega_Ca,Proximal_Temperature,Proximal_Salinity,Proximal_pH,Proximal_DO_mg,Proximal_TA,Proximal_pCO2,Proximal_Omega_Ca
MR-2-01-G,Merroir,1,8.793948105,-1.532727267,-0.020501732,5.46325551,-0.579214904,-0.038450354,24.98,11.303,7.72830364,6.342,1414.934,823.131091,1.19760419,11.2,13.33,7.9021755,11.78,1402.392,449.09214,1.00067673
MR-2-02-G,Merroir,1,8.906774966,-1.419900406,-0.014965151,6.160744736,0.118274322,0.013731348,24.98,11.303,7.72830364,6.342,1414.934,823.131091,1.19760419,11.2,13.33,7.9021755,11.78,1402.392,449.09214,1.00067673
MR-2-03-G,Merroir,1,9.344611882,-0.98206349,0.005875638,4.665184967,-1.377285447,-0.107032999,24.98,11.303,7.72830364,6.342,1414.934,823.131091,1.19760419,11.2,13.33,7.9021755,11.78,1402.392,449.09214,1.00067673
MR-2-04-G,Merroir,1,6.522960158,-3.803715214,-0.150240905,4.739493623,-1.302976791,-0.100169923,24.98,11.303,7.72830364,6.342,1414.934,823.131091,1.19760419,11.2,13.33,7.9021755,11.78,1402.392,449.09214,1.00067673
MR-2-05-G,Merroir,1,9.739124618,-0.587550754,0.023834292,5.22229447,-0.820175944,-0.05804051,24.98,11.303,7.72830364,6.342,1414.934,823.131091,1.19760419,11.2,13.33,7.9021755,11.78,1402.392,449.09214,1.00067673
MR-2-06-G,Merroir,1,12.18033227,1.853656897,0.120973505,4.268020244,-1.77445017,-0.145675396,24.98,11.303,7.72830364,6.342,1414.934,823.131091,1.19760419,11.2,13.33,7.9021755,11.78,1402.392,449.09214,1.00067673
MR-2-07-G,Merroir,1,11.51108247,1.184407101,0.096430535,4.887711045,-1.154759369,-0.086796344,24.98,11.303,7.72830364,6.342,1414.934,823.131091,1.19760419,11.2,13.33,7.9021755,11.78,1402.392,449.09214,1.00067673
MR-2-08-G,Merroir,1,11.51034558,1.183670207,0.096402732,5.931857389,-0.110613025,-0.002711165,24.98,11.303,7.72830364,6.342,1414.934,823.131091,1.19760419,11.2,13.33,7.9021755,11.78,1402.392,449.09214,1.00067673
MR-2-09-G,Merroir,1,14.5746951,4.24801973,0.198913848,5.807160857,-0.235309557,-0.011938011,24.98,11.303,7.72830364,6.342,1414.934,823.131091,1.19760419,11.2,13.33,7.9021755,11.78,1402.392,449.09214,1.00067673
PR-2-01-G,Piankatank,2,21.05327767,6.993962289,0.188684491,4.256679708,-2.774523526,-0.212726944,26.03,8.633,7.52937852,6.665,1348.159,1386.63724,0.97195109,11.2,13.33,7.9021755,11.78,1402.392,449.09214,1.00067673
PR-2-02-G,Piankatank,2,21.02907126,6.969755876,0.188184865,5.959544192,-1.071659042,-0.066584873,26.03,8.633,7.52937852,6.665,1348.159,1386.63724,0.97195109,11.2,13.33,7.9021755,11.78,1402.392,449.09214,1.00067673
PR-2-03-G,Piankatank,2,22.31704868,8.257733296,0.214001533,4.687608313,-2.343594921,-0.170846601,26.03,8.633,7.52937852,6.665,1348.159,1386.63724,0.97195109,11.2,13.33,7.9021755,11.78,1402.392,449.09214,1.00067673
PR-2-04-G,Piankatank,2,28.15253576,14.09322037,0.314882291,5.804232787,-1.226970447,-0.078053095,26.03,8.633,7.52937852,6.665,1348.159,1386.63724,0.97195109,11.2,13.33,7.9021755,11.78,1402.392,449.09214,1.00067673
PR-2-05-G,Piankatank,2,17.33247885,3.273163462,0.104225451,5.524565564,-1.50663767,-0.099499785,26.03,8.633,7.52937852,6.665,1348.159,1386.63724,0.97195109,11.2,13.33,7.9021755,11.78,1402.392,449.09214,1.00067673
PR-2-06-G,Piankatank,2,7.118581961,-6.940733423,-0.282241738,5.814488708,-1.216714526,-0.077286386,26.03,8.633,7.52937852,6.665,1348.159,1386.63724,0.97195109,11.2,13.33,7.9021755,11.78,1402.392,449.09214,1.00067673
PR-2-07-G,Piankatank,2,17.77925147,3.719936085,0.115278245,5.273921666,-1.757281568,-0.119664242,26.03,8.633,7.52937852,6.665,1348.159,1386.63724,0.97195109,11.2,13.33,7.9021755,11.78,1402.392,449.09214,1.00067673
PR-2-08-G,Piankatank,2,29.75209158,15.69277619,0.338882274,4.61884547,-2.412357764,-0.177264485,26.03,8.633,7.52937852,6.665,1348.159,1386.63724,0.97195109,11.2,13.33,7.9021755,11.78,1402.392,449.09214,1.00067673
PR-2-09-G,Piankatank,2,16.95735106,2.898035676,0.094722783,5.067947952,-1.963255282,-0.136965771,26.03,8.633,7.52937852,6.665,1348.159,1386.63724,0.97195109,11.2,13.33,7.9021755,11.78,1402.392,449.09214,1.00067673
PR-2-10-G,Piankatank,2,25.88573998,11.8264246,0.278425357,5.654722774,-1.37648046,-0.089386599,26.03,8.633,7.52937852,6.665,1348.159,1386.63724,0.97195109,11.2,13.33,7.9021755,11.78,1402.392,449.09214,1.00067673
PR-2-11-G,Piankatank,2,17.09682215,3.037506763,0.098280166,5.631796133,-1.399407101,-0.091150992,26.03,8.633,7.52937852,6.665,1348.159,1386.63724,0.97195109,11.2,13.33,7.9021755,11.78,1402.392,449.09214,1.00067673
PR-2-12-G,Piankatank,2,11.35194523,-2.707370151,-0.079564941,5.983406944,-1.04779629,-0.064849376,26.03,8.633,7.52937852,6.665,1348.159,1386.63724,0.97195109,11.2,13.33,7.9021755,11.78,1402.392,449.09214,1.00067673
